contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,stockPrice,date,T_days,T_years,moneyness
AAPL251010P00275000,2025-09-26 13:37:19+00:00,275.0,20.75,19.1,20.15,-2.25,-9.782609,16.0,7.0,0.3034737622070312,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.076489441683993
AAPL251010P00280000,2025-09-25 18:58:26+00:00,280.0,24.0,24.05,25.15,0.0,0.0,10.0,5.0,0.3569400244140625,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.0960619769873383
AAPL251010P00290000,2025-09-25 19:21:58+00:00,290.0,33.45,34.05,35.1,0.0,0.0,,0.0,0.44775942871093743,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.135207047594029
AAPL251010P00295000,2025-09-24 19:57:31+00:00,295.0,42.75,39.0,40.2,0.0,0.0,2.0,0.0,0.5112353564453125,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.1547795828973744
AAPL251010P00300000,2025-09-22 14:56:39+00:00,300.0,46.68,44.05,45.0,0.0,0.0,1.0,0.0,0.51758294921875,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.1743521182007197
AAPL251010P00310000,2025-09-26 13:31:41+00:00,310.0,55.7,54.05,55.15,0.79999924,1.4571935,3.0,3.0,0.6333044482421876,True,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,1.2134971888074104
AAPL251017P00090000,2025-09-19 18:17:31+00:00,90.0,0.01,0.0,0.01,0.0,0.0,2.0,955.0,1.3750031249999999,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.3523056354602159
AAPL251017P00095000,2025-09-05 18:47:10+00:00,95.0,0.01,0.0,0.26,0.0,0.0,11.0,1136.0,1.748048134765625,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.3718781707635612
AAPL251017P00100000,2025-09-22 13:46:16+00:00,100.0,0.01,0.0,0.01,0.0,0.0,3.0,860.0,1.2500037499999999,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.3914507060669066
AAPL251017P00105000,2025-09-12 15:56:38+00:00,105.0,0.02,0.0,0.11,0.0,0.0,1.0,292.0,1.4375028125,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.41102324137025187
AAPL251017P00110000,2025-09-22 13:55:57+00:00,110.0,0.01,0.0,0.11,0.0,0.0,5.0,615.0,1.3671906640625,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.4305957766735972
AAPL251017P00115000,2025-09-19 16:15:28+00:00,115.0,0.01,0.0,0.08,0.0,0.0,20.0,595.0,1.2578162109375,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.4501683119769425
AAPL251017P00120000,2025-09-26 18:21:45+00:00,120.0,0.01,0.0,0.08,-0.01,-50.0,127.0,5741.0,1.1953165234375,False,REGULAR,USD,put,2025-10-17,255.4600067138672,2025-09-28,18,0.049315068493150684,0.46974084728028787
